### 2016-04-14 00:38:39.49194172 +0200 CEST Data Acquisition: cuatro 

### [Ard], localTime(us), sincroTime(us), sensorTime(us), distance(mm), accX(g), accY(g), accZ(g), gyrX(gr/s), gyrY(gr/s), gyrZ(gr/s) 

[D], 9223372036854775,
[Ard], 9223372036854775, 0, 4078462636, 63, -0.978516, 0.002686, -2062718173446144.000000, 1622205452240619044864.000000, 62022844485006836891648.000000, 17256819553412347886305280.000000
[Ard], 9223372036854775, 0, 4078462636, 63, -0.978516, 0.002686, -2062718173446144.000000, 1622205452240619044864.000000, 62022844485006836891648.000000, 17256819553412347886305280.000000
[Ard], 9223372036854775, 0, 4078714316, 67, -0.981201, 0.000977, -0.067627, 1.396947, 1.564885, 0.213740
[Ard], 9223372036854775, 0, 4078753836, 15384, -0.000000, -0.000000, -14217933231898681691159051076894720.000000, 0.000000, 0.000000, -12474272055473880388105484107776.000000
[Ard], 9223372036854775, 0, 4078832876, 67, -0.977295, 0.004150, -0.067383, 1.519084, 1.496183, 0.175573
[Ard], 9223372036854775, 0, 4078872396, 68, -0.977539, 0.004639, -0.069336, 1.351145, 1.618321, 0.236641
[Ard], 9223372036854775, 0, 4078911916, 62, -0.983643, 0.000732, -0.064453, 1.595420, 1.687023, 0.442748
[Ard], 9223372036854775, 0, 4078951444, 68, -0.981201, 0.002930, -0.064941, 1.213740, 1.893130, 0.335878
[Ard], 9223372036854775, 0, 4078990956, 63, -0.979980, -0.000488, -0.073242, 1.351145, 1.664122, 0.251908
[Ard], 9223372036854775, 0, 4079030476, 67, -0.984863, -2333324607488.000000, 0.000000, 0.000000, 170141183460469231731687303715884105728.000000, -7178678982156484608.000000
[D], 9223372036854775,
[Ard], 9223372036854775, 0, 4078595756, 63, -2.000046, -0.000000, -0.000000, -1848208540108324864.000000, -0.000000, 0.000000
[Ard], 9223372036854775, 0, 4088412844, 81, -0.985107, 0.008301, -0.064453, 1.534351, 1.618321, 0.213740
[Ard], 9223372036854775, 0, 4088437148, 67, -0.980225, 0.005615, -0.068848, 1.442748, 1.748092, 0.427481
[Ard], 9223372036854775, 0, 4088476668, 68, -0.984131, 0.008545, -0.063232, 1.366412, 1.618321, 0.290076
[Ard], 9223372036854775, 0, 4088516188, 68, -0.981934, 0.008301, -0.064209, 1.488550, 1.625954, 0.328244
[Ard], 9223372036854775, 0, 4088555708, 67, -0.979980, 0.005127, -0.052490, 1.259542, 1.778626, 0.396947
[Ard], 9223372036854775, 0, 4088595228, 68, -0.973877, 0.004395, -0.066162, 1.427481, 1.732824, 0.244275
[Ard], 9223372036854775, 0, 4088634748, 67, -0.979248, 0.000977, -0.060303, 1.244275, 1.534351, 0.374046
